,operand1,operand2,operator,target
0,267,253,4,1.0553
1,280,773,1,1053.0
2,481,201,3,96681.0
3,810,396,4,2.0455
4,101,435,1,536.0
5,332,34,3,11288.0
6,50,877,2,-827.0
7,984,832,2,152.0
8,757,601,2,156.0
9,855,253,2,602.0
10,587,275,2,312.0
11,43,974,1,1017.0
12,166,866,1,1032.0
13,815,842,1,1657.0
14,948,284,1,1232.0
15,420,533,1,953.0
16,91,984,4,0.0925
17,671,884,2,-213.0
18,452,568,4,0.7958
19,272,469,3,127568.0
20,659,87,2,572.0
21,506,820,2,-314.0
22,426,994,3,423444.0
23,682,564,2,118.0
24,657,939,3,616923.0
25,786,357,2,429.0
26,444,313,1,757.0
27,380,131,2,249.0
28,725,643,3,466175.0
29,584,221,2,363.0
30,595,815,3,484925.0
31,232,499,4,0.4649
32,40,237,3,9480.0
33,626,961,1,1587.0
34,1000,650,3,650000.0
35,236,501,4,0.4711
36,944,146,3,137824.0
37,289,929,4,0.3111
38,448,496,2,-48.0
39,309,700,3,216300.0
40,647,553,2,94.0
41,239,825,1,1064.0
42,719,277,4,2.5957
43,113,955,4,0.1183
44,495,255,3,126225.0
45,732,807,1,1539.0
46,521,154,3,80234.0
47,345,351,1,696.0
48,381,303,3,115443.0
49,979,950,4,1.0305
50,488,390,1,878.0
51,817,953,3,778601.0
52,591,190,3,112290.0
53,415,851,1,1266.0
54,163,87,3,14181.0
55,548,12,4,45.6667
56,742,116,2,626.0
57,942,89,4,10.5843
58,851,837,4,1.0167
59,204,90,2,114.0
60,827,708,2,119.0
61,413,419,2,-6.0
62,912,995,2,-83.0
63,741,60,3,44460.0
64,886,207,4,4.2802
65,583,312,4,1.8686
66,264,310,3,81840.0
67,194,278,3,53932.0
68,645,529,4,1.2193
69,834,432,1,1266.0
70,254,605,3,153670.0
71,327,172,1,499.0
72,789,210,4,3.7571
73,815,115,1,930.0
74,354,402,1,756.0
75,31,16,1,47.0
76,866,986,1,1852.0
77,335,182,1,517.0
78,293,161,2,132.0
79,493,790,3,389470.0
80,879,287,4,3.0627
81,789,332,2,457.0
82,166,590,3,97940.0
83,629,489,2,140.0
84,252,905,1,1157.0
85,768,873,1,1641.0
86,315,213,1,528.0
87,344,184,2,160.0
88,962,622,3,598364.0
89,196,815,4,0.2405
90,398,820,4,0.4854
91,11,23,4,0.4783
92,124,789,3,97836.0
93,513,413,4,1.2421
94,161,24,2,137.0
95,122,935,4,0.1305
96,927,492,3,456084.0
97,979,939,1,1918.0
98,615,523,1,1138.0
99,530,530,2,0.0
100,234,722,2,-488.0
101,371,949,1,1320.0
102,836,621,4,1.3462
103,954,594,4,1.6061
104,243,373,4,0.6515
105,839,729,2,110.0
106,511,961,3,491071.0
107,915,382,3,349530.0
108,593,658,3,390194.0
109,859,516,4,1.6647
110,681,366,4,1.8607
111,498,956,2,-458.0
112,538,693,2,-155.0
113,78,855,1,933.0
114,730,987,2,-257.0
115,50,713,4,0.0701
116,180,10,1,190.0
117,680,744,2,-64.0
118,131,148,1,279.0
119,344,830,4,0.4145
120,141,475,2,-334.0
121,801,775,3,620775.0
122,724,845,1,1569.0
123,564,850,3,479400.0
124,949,602,2,347.0
125,152,299,3,45448.0
126,280,498,4,0.5622
127,957,875,4,1.0937
128,357,678,4,0.5265
129,358,238,1,596.0
130,994,894,4,1.1119
131,447,124,4,3.6048
132,573,563,3,322599.0
133,428,73,1,501.0
134,350,335,1,685.0
135,367,6,2,361.0
136,656,632,4,1.038
137,30,863,4,0.0348
138,632,988,4,0.6397
139,595,749,1,1344.0
140,470,541,2,-71.0
141,525,963,2,-438.0
142,136,368,1,504.0
143,233,403,2,-170.0
144,143,650,4,0.22
145,306,344,1,650.0
146,13,514,3,6682.0
147,444,942,4,0.4713
148,323,130,1,453.0
149,580,463,4,1.2527
150,997,871,4,1.1447
151,814,160,2,654.0
152,383,628,4,0.6099
153,57,775,4,0.0735
154,406,810,2,-404.0
155,195,199,3,38805.0
156,228,847,2,-619.0
157,696,92,4,7.5652
158,701,662,1,1363.0
159,6,933,3,5598.0
160,926,330,4,2.8061
161,968,670,2,298.0
162,818,783,4,1.0447
163,582,1000,2,-418.0
164,54,329,3,17766.0
165,741,653,4,1.1348
166,527,780,2,-253.0
167,737,260,1,997.0
168,371,173,4,2.1445
169,285,496,1,781.0
170,129,927,3,119583.0
171,993,67,3,66531.0
172,289,84,3,24276.0
173,778,882,4,0.8821
174,241,386,1,627.0
175,377,242,2,135.0
176,794,147,3,116718.0
177,165,776,1,941.0
178,188,103,2,85.0
179,504,944,2,-440.0
180,869,155,3,134695.0
181,616,468,1,1084.0
182,291,512,4,0.5684
183,549,30,4,18.3
184,367,5,2,362.0
185,312,710,2,-398.0
186,948,397,4,2.3879
187,402,508,1,910.0
188,3,448,4,0.0067
189,181,890,4,0.2034
190,743,201,2,542.0
191,477,855,2,-378.0
192,580,198,4,2.9293
193,626,504,2,122.0
194,235,671,1,906.0
195,165,724,3,119460.0
196,746,774,2,-28.0
197,75,404,3,30300.0
198,704,506,4,1.3913
199,24,361,1,385.0
200,799,939,3,750261.0
201,485,518,1,1003.0
202,692,611,2,81.0
203,580,772,1,1352.0
204,302,120,1,422.0
205,146,81,3,11826.0
206,322,893,3,287546.0
207,548,154,1,702.0
208,875,521,3,455875.0
209,358,797,2,-439.0
210,974,195,1,1169.0
211,393,323,1,716.0
212,808,451,1,1259.0
213,47,812,2,-765.0
214,220,844,3,185680.0
215,451,823,3,371173.0
216,954,897,2,57.0
217,258,148,3,38184.0
218,364,714,3,259896.0
219,195,670,4,0.291
220,566,67,1,633.0
221,174,776,3,135024.0
222,884,273,1,1157.0
223,100,390,2,-290.0
224,583,319,4,1.8276
225,668,372,3,248496.0
226,859,940,4,0.9138
227,302,154,1,456.0
228,296,903,4,0.3278
229,995,206,1,1201.0
230,252,614,1,866.0
231,939,705,2,234.0
232,71,895,2,-824.0
233,561,845,2,-284.0
234,30,937,4,0.032
235,200,157,3,31400.0
236,924,436,1,1360.0
237,15,408,1,423.0
238,650,663,3,430950.0
239,250,913,4,0.2738
240,436,586,4,0.744
241,835,320,2,515.0
242,63,129,2,-66.0
243,168,560,1,728.0
244,378,319,1,697.0
245,524,582,3,304968.0
246,389,241,3,93749.0
247,988,610,3,602680.0
248,789,392,2,397.0
249,934,117,1,1051.0
250,670,698,1,1368.0
251,566,297,3,168102.0
252,131,25,4,5.24
253,794,708,1,1502.0
254,146,984,1,1130.0
255,610,156,2,454.0
256,220,268,3,58960.0
257,98,553,3,54194.0
258,94,80,3,7520.0
259,590,632,4,0.9335
260,520,939,4,0.5538
261,234,430,4,0.5442
262,401,965,4,0.4155
263,406,244,4,1.6639
264,461,329,4,1.4012
265,755,88,1,843.0
266,785,928,3,728480.0
267,460,40,1,500.0
268,606,319,3,193314.0
269,445,267,3,118815.0
270,802,971,4,0.826
271,585,636,4,0.9198
272,191,995,4,0.192
273,874,362,2,512.0
274,257,629,3,161653.0
275,153,718,1,871.0
276,351,248,1,599.0
277,147,147,4,1.0
278,899,660,3,593340.0
279,884,49,4,18.0408
280,296,189,2,107.0
281,259,446,2,-187.0
282,247,94,3,23218.0
283,308,271,1,579.0
284,203,885,1,1088.0
285,63,326,2,-263.0
286,606,417,2,189.0
287,82,184,3,15088.0
288,314,622,4,0.5048
289,246,433,1,679.0
290,998,375,3,374250.0
291,822,507,4,1.6213
292,604,423,2,181.0
293,116,63,2,53.0
294,31,309,2,-278.0
295,10,384,3,3840.0
296,808,741,4,1.0904
297,665,245,2,420.0
298,364,52,4,7.0
299,890,539,3,479710.0
300,204,495,1,699.0
301,530,211,1,741.0
302,380,779,2,-399.0
303,738,457,1,1195.0
304,60,619,4,0.0969
305,66,650,2,-584.0
306,224,225,4,0.9956
307,172,698,4,0.2464
308,103,97,4,1.0619
309,162,133,1,295.0
310,864,678,4,1.2743
311,403,718,2,-315.0
312,535,223,3,119305.0
313,715,300,4,2.3833
314,214,929,4,0.2304
315,303,790,2,-487.0
316,822,267,3,219474.0
317,341,545,3,185845.0
318,129,469,3,60501.0
319,505,512,2,-7.0
320,582,330,1,912.0
321,64,111,2,-47.0
322,926,543,1,1469.0
323,951,452,3,429852.0
324,681,256,4,2.6602
325,823,738,3,607374.0
326,433,389,4,1.1131
327,493,103,2,390.0
328,681,12,2,669.0
329,225,80,4,2.8125
330,796,276,2,520.0
331,360,912,4,0.3947
332,214,547,2,-333.0
333,635,734,2,-99.0
334,634,373,2,261.0
335,527,871,3,459017.0
336,799,150,4,5.3267
337,540,881,1,1421.0
338,463,348,4,1.3305
339,117,352,1,469.0
340,3,836,1,839.0
341,256,429,1,685.0
342,170,326,1,496.0
343,135,900,3,121500.0
344,307,351,1,658.0
345,487,517,3,251779.0
346,139,486,3,67554.0
347,914,271,1,1185.0
348,700,220,2,480.0
349,570,738,2,-168.0
350,992,472,4,2.1017
351,350,187,1,537.0
352,974,760,4,1.2816
353,130,954,3,124020.0
354,796,149,4,5.3423
355,870,588,3,511560.0
356,496,281,4,1.7651
357,452,768,4,0.5885
358,334,457,4,0.7309
359,290,458,2,-168.0
360,256,241,3,61696.0
361,447,115,1,562.0
362,855,4,1,859.0
363,829,349,3,289321.0
364,380,605,4,0.6281
365,119,893,1,1012.0
366,92,676,4,0.1361
367,162,67,4,2.4179
368,351,349,1,700.0
369,812,864,4,0.9398
370,221,240,4,0.9208
371,979,395,1,1374.0
372,447,271,1,718.0
373,440,947,1,1387.0
374,549,222,4,2.473
375,260,549,2,-289.0
376,25,355,4,0.0704
377,505,542,3,273710.0
378,639,583,1,1222.0
379,565,114,3,64410.0
380,566,392,1,958.0
381,533,864,3,460512.0
382,879,449,2,430.0
383,753,588,3,442764.0
384,803,899,2,-96.0
385,379,834,3,316086.0
386,710,973,2,-263.0
387,907,8,1,915.0
388,999,208,1,1207.0
389,490,462,1,952.0
390,643,285,3,183255.0
391,494,957,2,-463.0
392,784,227,1,1011.0
393,35,446,2,-411.0
394,595,374,3,222530.0
395,227,492,4,0.4614
396,587,749,2,-162.0
397,205,484,2,-279.0
398,856,693,2,163.0
399,970,409,4,2.3716
400,817,139,3,113563.0
401,144,289,4,0.4983
402,543,803,1,1346.0
403,770,242,1,1012.0
404,955,273,3,260715.0
405,31,281,1,312.0
406,103,688,4,0.1497
407,420,961,4,0.437
408,237,494,1,731.0
409,521,963,1,1484.0
410,420,430,2,-10.0
411,187,415,1,602.0
412,85,429,4,0.1981
413,428,754,3,322712.0
414,766,261,2,505.0
415,700,315,2,385.0
416,409,532,2,-123.0
417,970,74,2,896.0
418,452,206,3,93112.0
419,801,581,1,1382.0
420,170,396,4,0.4293
421,876,51,2,825.0
422,898,563,4,1.595
423,701,564,1,1265.0
424,249,325,4,0.7662
425,437,313,4,1.3962
426,632,83,1,715.0
427,784,577,2,207.0
428,847,620,4,1.3661
429,19,667,3,12673.0
430,268,832,1,1100.0
431,616,556,1,1172.0
432,76,586,2,-510.0
433,845,600,2,245.0
434,85,814,1,899.0
435,716,118,4,6.0678
436,617,646,4,0.9551
437,337,571,1,908.0
438,844,560,3,472640.0
439,283,169,4,1.6746
440,651,939,4,0.6933
441,422,468,3,197496.0
442,321,808,1,1129.0
443,687,553,4,1.2423
444,159,657,2,-498.0
445,518,297,4,1.7441
446,811,329,3,266819.0
447,478,888,2,-410.0
448,232,738,1,970.0
449,47,637,2,-590.0
450,278,818,1,1096.0
451,846,117,2,729.0
452,881,227,4,3.8811
453,786,92,1,878.0
454,830,351,4,2.3647
455,511,576,1,1087.0
456,791,840,1,1631.0
457,958,104,4,9.2115
458,881,824,1,1705.0
459,811,329,2,482.0
460,550,55,1,605.0
461,816,265,3,216240.0
462,116,558,4,0.2079
463,715,814,4,0.8784
464,783,601,1,1384.0
465,886,991,4,0.894
466,996,958,4,1.0397
467,10,943,2,-933.0
468,561,399,4,1.406
469,208,917,3,190736.0
470,982,371,4,2.6469
471,116,516,3,59856.0
472,456,923,4,0.494
473,371,308,3,114268.0
474,147,72,4,2.0417
475,255,1,2,254.0
476,440,581,1,1021.0
477,795,776,1,1571.0
478,324,7,4,46.2857
479,794,953,2,-159.0
480,727,896,1,1623.0
481,366,44,2,322.0
482,982,897,1,1879.0
483,612,948,4,0.6456
484,44,24,4,1.8333
485,450,969,1,1419.0
486,866,436,4,1.9862
487,765,540,4,1.4167
488,238,792,2,-554.0
489,995,493,4,2.0183
490,754,991,2,-237.0
